Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism
CEA29751.1	LN515534	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AJO16047.1	KP050494	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAF34333.1	AF117743	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAD37413.1	AF148851	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAF34334.1	AF117744	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAF34335.1	AF117745	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAF34336.1	AF117746	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAF34337.1	AF117747	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
BAA84973.1	AB023477	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAF37209.2	AF208796	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAF36719.1	AF227204	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAG01039.1	AF293345	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAG15384.1	AF299299	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAG49894.1	AF301532	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
CAA66730.1	X98102	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
WP_063864673.1	NG_050068	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAT75225.1	AY661885	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAP33454.2	AY277255	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAK69828.1	AY037778	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AFN82060.1	JX268631	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAK64187.1	AY036620	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAL68926.1	AY070258	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAL82592.1	AF467947	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAL82593.1	AF467948	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAL79576.1	AY079099	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAN77730.1	AY150585	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAN04882.1	AF535128	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAN04883.1	AF535129	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAN04884.1	AF535130	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAL40899.1	AY065991	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAP82228.1	AY259119	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAN39364.1	AF547625	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAO53445.1	AY210887	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAP03063.1	AY263404	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAS98184.1	AY528718	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
CAA39164.1	X55640	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAP41108.1	AY288915	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAP41944.1	AY289548	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AEJ08681.1	HQ845196	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAT01223.1	AY590467	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
CAI10727.2	AJ863560	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
ACB73258.1	EU586041	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAO66446.1	AY223863	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAV66328.1	AY790341	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
CAA71948.1	Y11069	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
BAF92780.1	AB302939	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
CAI30650.2	AJ866284	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
CAI30651.2	AJ866285	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
ABY56290.1	EU342351	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
ABA06586.1	DQ174304	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
ABA06587.1	DQ174305	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
ABA06588.1	DQ174306	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
ABA06589.1	DQ174307	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
ABA06590.1	DQ174308	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAA87176.1	U20270	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAY42633.1	DQ013287	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
CAJ47126.2	AM176546	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
CAJ47127.2	AM176547	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
CAJ47128.2	AM176548	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
CAJ47129.2	AM176549	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
CAJ47130.2	AM176550	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
CAJ47131.2	AM176551	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
CAJ47132.2	AM176552	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
CAJ47133.2	AM176553	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
CAJ47134.2	AM176554	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAB51384.1	U92041	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
CAJ47135.2	AM176555	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
CAJ47136.2	AM176556	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
CAJ47137.2	AM176557	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
CAJ47138.2	AM176558	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
CAJ32371.1	AM087453	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
ABC54571.1	DQ322460	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
ABC58727.1	DQ328802	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
ABA60809.1	DQ193536	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAB37395.2	S82452	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
ABH04327.1	DQ836922	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
ABN49110.1	EF373969	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
ABN49111.1	EF373970	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
ABN49113.1	EF373972	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
ABN49112.1	EF373971	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
ABN49114.1	EF373973	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
CAQ03503.1	AM941844	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
CAQ03504.1	AM941845	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
ACT66697.1	GQ288397	SIM beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
AAT90846.1	AY590118	SHW beta-lactamase	cephalosporin;penam	antibiotic inactivation
BAL14456.1	AB636283	SMB beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation
CAA82281.1	Z28968	SME beta-lactamase	carbapenem	antibiotic inactivation
AAG29813.1	AF275256	SME beta-lactamase	carbapenem	antibiotic inactivation
AAS92558.1	AY584237	SME beta-lactamase	carbapenem	antibiotic inactivation
AHA49908.1	KF481967	SME beta-lactamase	carbapenem	antibiotic inactivation
AHV85514.1	KJ188748	SME beta-lactamase	carbapenem	antibiotic inactivation
AAD51344.1	AF173226	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;cephalosporin;cephamycin;penam	antibiotic efflux
AAD51345.1	AF173226	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;cephalosporin;cephamycin;penam	antibiotic efflux
AAD51346.1	AF173226	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;cephalosporin;cephamycin;penam	antibiotic efflux
CAC14594.1	AJ252200	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;tetracycline antibiotic;phenicol antibiotic	antibiotic efflux
CAC14595.1	AJ252200	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;tetracycline antibiotic;phenicol antibiotic	antibiotic efflux
CAC14596.1	AJ252200	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;tetracycline antibiotic;phenicol antibiotic	antibiotic efflux
AAD51348.1	AF173226	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;cephalosporin;cephamycin;penam	antibiotic efflux
AAD51347.1	AF173226	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;cephalosporin;cephamycin;penam	antibiotic efflux
AGW81558.1	KC895984	ANT(9)	aminoglycoside antibiotic	antibiotic inactivation
AJP77080	KP109680	SPG beta-lacatamase	carbapenem	antibiotic inactivation
CAD37801.1	AJ492820.1	SPM beta-lactamase	carbapenem	antibiotic inactivation
CAA45050.1	X63451	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
BAA23130.1	AB008454	SRT beta-lactamase	cephalosporin	antibiotic inactivation
AAS07017.3	AY524276	SRT beta-lactamase	cephalosporin	antibiotic inactivation
CAG41107	BX571856	daptomycin resistant agrA	peptide antibiotic	antibiotic target alteration
YP_500802.1	NC_007795	daptomycin resistant cls	peptide antibiotic	antibiotic target alteration
CAG39573	BX571856	antibiotic resistant fusA	fusidic acid	antibiotic target alteration
ADL24064	CP002114	antibiotic resistant fusE	fusidic acid	antibiotic target alteration
CAG39357	KT372193	GlpT	fosfomycin	antibiotic target alteration
YP_039483.1	NC_002952	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin	antibiotic target alteration
YP_039482.1	NC_002952	aminocoumarin resistant gyrB	aminocoumarin antibiotic	antibiotic target alteration
CAA52296.1	X74219	antibiotic resistant isoleucyl-tRNA synthetase (ileS)	mupirocin	antibiotic target alteration
YP_499533.1	NC_007795.1	lysocin resistant menA	peptide antibiotic	antibiotic target alteration
ADJ67256.1	HM140977	defensin resistant mprF	peptide antibiotic	antibiotic target alteration
ADJ67256	HM140977	daptomycin resistant mprF	peptide antibiotic	antibiotic target alteration
CAG41169	BX571856	murA transferase	fosfomycin	antibiotic target alteration
YP_040772.1	NC_002952	fluoroquinolone resistant parC;fluoroquinolone self resistant parC	fluoroquinolone antibiotic	antibiotic target alteration
BAA11086.1	D67075.1	aminocoumarin resistant parE	aminocoumarin antibiotic	antibiotic target alteration
YP_040771.1	NC_002952	fluoroquinolone resistant parE	fluoroquinolone antibiotic	antibiotic target alteration
WP_001025093	NC_003923	daptomycin resistant pgsA	peptide antibiotic	antibiotic target alteration
YP_039996.1	NC_002952	daptomycin resistant beta-subunit of RNA polymerase (rpoB)	peptide antibiotic;rifamycin antibiotic	antibiotic target alteration
YP_039996.1	NC_002952	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	peptide antibiotic;rifamycin antibiotic	antibiotic target alteration;antibiotic target replacement
YP_039997.1	NC_002952	daptomycin resistant beta prime subunit of RNA polymerase (rpoC)	peptide antibiotic	antibiotic target alteration
CAG39240	KT372207	UhpT	fosfomycin	antibiotic target alteration
CAG39047	BX571856	daptomycin resistant walK	peptide antibiotic	antibiotic target alteration
CAA53189	X75439	antibiotic resistant isoleucyl-tRNA synthetase (ileS)	mupirocin	antibiotic target alteration
AEY83581	JQ231224	antibiotic resistant isoleucyl-tRNA synthetase (ileS)	mupirocin	antibiotic target alteration
Q8DWT2	AE009948	defensin resistant mprF	peptide antibiotic	antibiotic target alteration
AQA08261.1	CP019562.1	daptomycin resistant CdsA	peptide antibiotic	antibiotic target alteration
AAK74984.1	AE005672	fluoroquinolone resistant parC;fluoroquinolone self resistant parC	fluoroquinolone antibiotic	antibiotic target alteration
AFC91828.1	JN645776	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	monobactam;carbapenem;cephalosporin;cephamycin;penam	antibiotic target alteration
NP_359110.1	NC_003098.1	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	monobactam;carbapenem;cephalosporin;cephamycin;penam	antibiotic target alteration
AFC91898.1	JN645706	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics	monobactam;carbapenem;cephalosporin;cephamycin;penam	antibiotic target alteration
AAL97684.1	AE009949	sulfonamide resistant dihydropteroate synthase folP	sulfonamide antibiotic;sulfone antibiotic	antibiotic target alteration
CAA67349.1	X98831.1	elfamycin resistant EF-Tu;kirromycin self resistant EF-Tu	elfamycin antibiotic	antibiotic target alteration
CAA42594.1	X59968	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
AAO47226.2	AF235050.4	aminocoumarin resistant parY;aminocoumarin self resistant parY	aminocoumarin antibiotic	antibiotic target alteration
AEJ33969.1	JF969163	sulfonamide resistant sul	sulfonamide antibiotic;sulfone antibiotic	antibiotic target replacement
AAL59753.1	AY055428	sulfonamide resistant sul	sulfonamide antibiotic;sulfone antibiotic	antibiotic target replacement
ACJ63260.1	FJ196385	sulfonamide resistant sul	sulfonamide antibiotic;sulfone antibiotic	antibiotic target replacement
WP_102607457.1	NG_056174.1	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement
APB03219.1	KX531049.1	ATP-binding cassette (ABC) antibiotic efflux pump	pleuromutilin antibiotic	antibiotic efflux
CAA03986.1	AJ000283	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
AAA67509.1	M80674	major facilitator superfamily (MFS) antibiotic efflux pump	N/A	antibiotic efflux
BAA07390.1	D38215	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
CAD09800.1	AL513383	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAC72362.1	AF093512	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAM18924.1	AF495873	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAK82652.1	AY040093	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAM61952.1	AF516719	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAM61953.1	AF516720	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAM52207.1	AY101578	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAM52215.1	AY101764	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAM28884.1	AF506748	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAT46413.1	AY628175	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAW66604.1	AY874537	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAL68923.1	AY072920	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAL77062.1	AF468003	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAS89982.1	AY589493	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAS89983.1	AY589494	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAS89984.1	AY589495	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAN04881.1	AF535127	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
NP_052129.1	NC_002156	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAN05026.1	AY130282	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAN05029.1	AY130285	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAA25053.1	M88143	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAO85882.1	AY243512	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAQ01671.1	AY271267	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAQ98890.1	AY307100	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAQ93490.1	AY327539	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAQ93491.1	AY327540	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAT46414.1	AY628176	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAT45742.1	AY628199	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAR89358.1	AY368236	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAR89359.1	AY368237	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAG34105.1	AJ746225	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAI29263.1	AJ866988	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAR10958.1	AY436361	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAR84298.1	AY491682	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAS19171.1	AY528425	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAS79107.1	AY574271	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAG25427.1	AJ634602	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAV83795.1	AY826417	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAL08007.1	AM286274	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAW47922.1	AY853593	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAZ23494.1	DQ072853	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAX56615.1	AY956335	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
ABD60314.1	DQ388882	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAY85632.1	DQ075245	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAJ17558.1	AM049399	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAZ14083.2	DQ105528	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAZ14084.2	DQ105529	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
ABB84515.1	DQ279850	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAJ32372.1	AM087454	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
ABC96711.1	DQ369751	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAO98721.1	AM849805	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAJ66089.1	AM183304	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
ABI74448.1	DQ834729	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
ABI74447.1	DQ834728	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AGA83484.1	KC149518	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
ACO07310.1	FJ807656	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
ABG77582.1	DQ679961	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAQ00120.1	AM941159	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
ABI81768.1	DQ909059	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
ABQ00181.1	EF534736	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
ABM54869.1	EF136376	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAA46346.1	X65254	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
ABM54870.1	EF136377	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
ABO64442.1	EF468463	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
ACF32746.1	EU815939	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
ABX71157.1	EU274580	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
ACI25375.1	FJ197316	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
ACJ04051.1	FJ360884	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
ACR22829.1	FJ919776	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
ACP18864.1	FJ873740	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAA74912.2	Y14574	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
ADA79630.1	GQ149347	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
ADB90239.1	GU550123	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CBJ06718.1	FN652295	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAA65888.1	X97254	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
ADP20705.1	HQ317449	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
ADR71220.1	HQ529916	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CCA61905.1	FR848831	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AEG64812.1	JF795538	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AET99222.1	JN227084	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
ADM61585.1	HM246246	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AEL17198.1	JN211012	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AEL79515.1	JN254627	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AFN21551.1	JX042489	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AEL88240.1	JN416112	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AEQ59621.1	JF949916	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AEQ59620.1	JF949915	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AFC75523.1	JN935135	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AFC75524.1	JN935136	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AFC75525.1	JN935137	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AFE48832.1	JQ034306	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AEK48085.1	HQ877606	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
BAL68178.1	AB700703	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AFN69127.1	JX050178	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAA38429.1	X54606	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAA76793.1	Y17581	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AFS44742.1	JX310327	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AGZ20205.1	KC900516	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AGK82336.1	KC783461	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AGK40892.1	KC818234	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AGL39384.1	KC865667	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AGW25367.1	KF240808	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAA76794.1	Y17582	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AHA80960.1	KF513179	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AHA58207.1	KF663615	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AJO16044.1	KP050491	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AJO16045.1	KP050492	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AHJ78622.1	KF944358	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CDN33426.1	HG934763	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AIS39742.1	KM114268	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAA76795.1	Y17583	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AIW68620.1	KM998962.1	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAA46345.1	X65253	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAC36883.1	L19940	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
AAC32891.1	U37195	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAA76796.1	Y17584	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAA45828.1	X64523	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
CAD24670.1	AJ437107	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
ADL13944.1	GU371926	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation
